PMID,Title,Journal,Publication Year,Authors,Abstract,Keywords
40061801,Advancements and strategies of genetic improvement in cassava (,Horticulture research,2025,"Liang Xiao, Dong Cheng, Wenjun Ou, Xin Chen, Ismail Yusuf Rabbi, Wenquan Wang, Kaimian Li, Huabing Yan",Cassava (,N/A
40061124,Rapid development of naked malting barley germplasm through targeted mutagenesis.,Molecular breeding : new strategies in plant improvement,2025,"Hiroshi Hisano, Hiroaki Sakai, Mika Hamaoka, Hiromi Munemori, Fumitaka Abe, Brigid Meints, Kazuhiro Sato, Patrick M Hayes",Covered barley (,"CRISPR/Cas9, Covered (hulled), Genome editing, Hordeum vulgare, Naked (hull-less), Transformation amenability"
40060892,"Generation of primordial germ cell-like cells by two germ plasm components, ",iScience,2025,"Toshiya Nishimura, Takafumi Fujimoto","In teleost fish, primordial germ cells (PGCs), the precursors of eggs and sperm, develop from cells that inherit maternal germ plasm (GP). Although numerous GP component genes have been identified, the minimum set of genes essential for germline formation remains unknown. Herein, we provide evidence that ","Developmental biology, Developmental genetics, Genetics, Genomics, Molecular genetics, Zoology"
40060499,Plug-and-play assembly of biodegradable ionizable lipids for potent mRNA delivery and gene editing,bioRxiv : the preprint server for biology,2025,"Xuexiang Han, Ying Xu, Adele Ricciardi, Junchao Xu, Rohan Palanki, Vivek Chowdhary, Lulu Xue, Ningqiang Gong, Mohamad-Gabriel Alameh, William H Peranteau, James M Wilson, Drew Weissman, Michael J Mitchell","mRNA-based gene editing therapeutics offer the potential to permanently cure diseases but are hindered by suboptimal delivery platforms. Here, we devise a robust combinatorial chemistry for plug-and-play assembly of diverse biodegradable ionizable lipids and identify a lead candidate that produces superior lipid nanoparticles for various gene editing tools delivery ",N/A
40060482,Multiplexed,bioRxiv : the preprint server for biology,2025,"Jonuelle Acosta, Grace A Johnson, Samuel I Gould, Kexin Dong, Yovel Lendner, Diego Detrés, Ondine Atwa, Jari Bulkens, Samuel Gruber, Manuel E Contreras, Alexandra N Wuest, Varun K Narendra, Michael T Hemann, Francisco J Sánchez-Rivera","Human genome sequencing efforts in healthy and diseased individuals continue to identify a broad spectrum of genetic variants associated with predisposition, progression, and therapeutic outcomes for diseases like cancer ",N/A
40060182,"Convenient, high-efficiency multiplex genome editing in autotetraploid alfalfa using endogenous ",aBIOTECH,2025,"Xiuzhi Xia, Shihao Li, Na Wang, Panxu Cheng, Butuo Zhu, Pengcheng Zhang, Dahai Yang, Hao Lin, Lifang Niu","CRISPR/Cas is a simple, robust, versatile tool for plant biology studies and precision plant breeding. However, establishing a high-efficiency gene editing system for multiplex editing of the autotetraploid crop alfalfa (","Alfalfa, Hairy root system, MsU6 promoter, Multiplex genome editing, Visual reporters"
40060180,LEAFY1 and 2 are required for floral organ development in soybean.,aBIOTECH,2025,"Lingshuang Wang, Huan Liu, Lei Chen, Tong Su, Shichen Li, Chao Fang, Sijia Lu, Baohui Liu, Hui Yang, Fanjiang Kong",The transition from vegetative to reproductive growth is a vital step for the reproductive success of plants. In,"Expression analysis, Floral organ development, Knockout, LFY, Soybean"
40060179,Emerging strategies to improve heat stress tolerance in crops.,aBIOTECH,2025,"Jiawei Xiong, Hao Wang, Zhaohui Zhong, Shigui Li, Peng Qin","The heat stress (HS) response in plants involves complex processes at the molecular, cellular, and whole-organism levels. Sensitivity to HS differs based on the species and developmental stage of the plant, making it challenging to define HS and its impacts. Efforts to enhance HS tolerance by traditional breeding are constrained by limited genetic resources, but understanding the mechanisms that regulate HS responses can enable efforts to improve heat tolerance by precision breeding and gene editing. Here, we review recent research on the effects of HS on major cereal crops at different developmental stages and identify key genes potentially involved in the HS response, offering insight for precision molecular breeding. Additionally, we discuss the use of favorable natural variants and gene editing to improve crop tolerance to HS, emphasizing the value of alleles involved in thermomemory, combined stress tolerance, and the stress response-growth balance. This review aims to summarize recent advancements in understanding HS responses in crops, highlighting potential avenues for generating heat-tolerant crops.","Crops, Heat stress, High temperature, Thermotolerance, Thermotolerance breeding"
40060178,"Developing a pipeline for identification, characterization and molecular editing of ",aBIOTECH,2025,"Min Wan, Handan Xie, Hongwei Guo, Shenglin Jing, Deying Zeng, Bing Li, Bo Zhu, Zixian Zeng","Crop breeding requires a balance of tradeoffs among key agronomic traits caused by gene pleiotropy. The molecular manipulation of genes can effectively improve target traits, but this may not reduce gene pleiotropy, potentially leading to undesirable traits or even lethal conditions. However, molecular editing of ","CRISPR, Cis-regulatory element, Genome-editing, Potato"
40060015,Advancements in techniques for human iPSC-derived cardiomyocytes maturation: mechanical and electrical stimulation approaches.,Biophysical reviews,2025,"Yinsheng Lu, Yufeng Liu, Yumeng Yan, Saba Fooladi, Yibing Qyang","The maturation of human-induced pluripotent stem cell-derived cardiomyocytes (hiPSC-CMs) is pivotal for their potent application in regenerative medicine, drug screening, and disease modeling. While the emergence of hiPSC-CMs solved the inadequacy of cardiomyocytes in cardiovascular research, they frequently remain immature: more closely resembling fetal rather than adult cardiomyocytes. This immaturity limits their functional utility in both laboratorial and clinical practices. Early methods focused on optimizing culture media with hormones and growth factors to regulate gene transcription related to structural proteins and metabolic enzymes. Subsequently, mechanical training platforms such as static and cyclic stretching were developed to enhance sarcomere alignment and protein expression. Electrical pacing has also been implemented as a crucial method to improve electrophysiological properties by synchronizing contractions and enhancing ion channel expression. The integration of these techniques, along with gene editing and co-culture systems, has significantly advanced the maturation process of hiPSC-CMs. Our review comprehensively explores the advancements in mechanical and electrical stimulation techniques for promoting the maturation of hiPSC-CMs and provides valuable insights for developing effective maturation protocols.","Cardiomyocyte maturation, Cardiovascular disease, Electrical pacing, Human-induced pluripotent stem cells, Mechanical stimulation, Tissue engineering"
40059830,AAV-mediated base editing restores cochlear gap junction in GJB2 dominant-negative mutation-associated syndromic hearing loss model.,JCI insight,2025,"Takao Ukaji, Daisuke Arai, Harumi Tsutsumi, Ryoya Nakagawa, Fumihiko Matsumoto, Katsuhisa Ikeda, Osamu Nureki, Kazusaku Kamiya","Mutations in the gap junction β2 (GJB2) gene, which encodes connexin 26, are the leading cause of genetic deafness. These mutations are characterized by the degeneration and fragmentation of gap junctions and gap junction plaques (GJPs) composed of connexin 26. Dominant-negative mutations of GJB2, such as R75W, cause syndromic hearing loss and palmoplantar keratoderma. We previously reported that the R75W mutation, a single-base substitution where C is replaced by T, causes fragmentation of GJPs. Therefore, an adenine base editor (ABE), which enables A-to-G base conversions, can potentially be useful for the treatment of this genetic disease. Here, we report that an all-in-one adeno-associated virus (AAV) vector, which includes a compact ABE (SaCas9-NNG-ABE8e) with broad targeting range, and a sgRNA targeting the R75W mutation in GJB2 corrected this pathogenic mutation and facilitated the recovery of the gap junction intercellular communication network of GJPs. In a transgenic mouse model with the GJB2 R75W mutation, AAV-mediated base editing also restored the fragmented GJPs to orderly outlines in cochlear supporting cells. Our findings suggest that an ABE-based base-editing strategy could be an optimal treatment for the dominant form of GJB2-related hearing loss, GJB2-related skin diseases, and other deafness-related mutations, especially single-base substitutions.","Gene therapy, Genetics, Therapeutics"
40059188,Landscape of small nucleic acid therapeutics: moving from the bench to the clinic as next-generation medicines.,Signal transduction and targeted therapy,2025,"Mohan Liu, Yusi Wang, Yibing Zhang, Die Hu, Lin Tang, Bailing Zhou, Li Yang","The ability of small nucleic acids to modulate gene expression via a range of processes has been widely explored. Compared with conventional treatments, small nucleic acid therapeutics have the potential to achieve long-lasting or even curative effects via gene editing. As a result of recent technological advances, efficient small nucleic acid delivery for therapeutic and biomedical applications has been achieved, accelerating their clinical translation. Here, we review the increasing number of small nucleic acid therapeutic classes and the most common chemical modifications and delivery platforms. We also discuss the key advances in the design, development and therapeutic application of each delivery platform. Furthermore, this review presents comprehensive profiles of currently approved small nucleic acid drugs, including 11 antisense oligonucleotides (ASOs), 2 aptamers and 6 siRNA drugs, summarizing their modifications, disease-specific mechanisms of action and delivery strategies. Other candidates whose clinical trial status has been recorded and updated are also discussed. We also consider strategic issues such as important safety considerations, novel vectors and hurdles for translating academic breakthroughs to the clinic. Small nucleic acid therapeutics have produced favorable results in clinical trials and have the potential to address previously ""undruggable"" targets, suggesting that they could be useful for guiding the development of additional clinical candidates.",N/A
40058525,Gene therapy for inborn errors of immunity: current clinical progress.,"Annals of allergy, asthma & immunology : official publication of the American College of Allergy, Asthma, & Immunology",2025,"Sathi Wijeyesinghe, Javier Chinen","Hematopoietic stem cell transplant has been the single curative treatment for inborn errors of immunity (IEI) and is recommended for the most severe IEI conditions, such as severe combined immunodeficiency (SCID). However, adverse outcomes primarily due to histocompatibility differences between the donor and the patient are still of concern. Progress in genetic and molecular mechanisms, as well as new technology to insert DNA sequences in cell genomes has allowed the development of strategies to treat genetic diseases by correcting the gene defect in patients' cells. This technology is named gene therapy. Gene therapy approaches being developed for IEI are mediated by gene insertion, using a retroviral vector, or by gene editing, using a combination of a nuclease and a DNA template. After the unexpected occurrence of oncogenesis associated with the initial retroviral vector designs, significant advances have led to successful gene therapy clinical trials for three forms of SCID, which demonstrated the safety and efficacy of this approach. Active preclinical and clinical studies are ongoing for diverse IEI, including chronic granulomatous disease, leukocyte adhesion deficiency, severe congenital neutropenia, Wiskott-Aldrich syndrome, X-linked agammaglobulinemia and familial forms of hemophagocytic lymphohistiocytosis.","CGD, IEI, SCID, WAS, gene editing, gene therapy, immunodeficiency, retroviral vector"
40058251,Endogenous storage proteins influence Rice flavor: Insights from protein-flavor correlations and predictive modeling.,Food chemistry,2025,"Mengdi Chen, Ming Zhang, Dong Wang, Shunqian Xu, Tao Chen, Ting Li, Xinxia Zhang, Li Wang","This study investigated the correlation between endogenous storage proteins and aromatic compounds in rice, and their collective influence on rice eating quality. Six rice samples, varying in four endogenous storage proteins through gene editing genetically modified, were analyzed for their sensory characteristics and volatile compounds utilizing GC-E-nose, GC-MS, GC-MS-O, texture analyzer, and sensory evaluation. The results indicated that a total of 55 flavor compounds were identified, with 2-acetyl-1-pyrroline identified as the key aroma compound, positively correlated with prolamin content, while negatively correlated with glutelin and albumin. The concentrations of glutelin and prolamin significantly influence the odor, taste, and texture of rice. Additionally, six prediction models were evaluated, with the optimal Support Vector Regression (SVR) model selected for predicting rice flavor profiles based on protein content. This study provides a foundation for understanding key factors in rice aroma and texture, offering valuable guidance for gene-editing strategies aimed at enhancing rice flavor.","Gene editing, Machine learning, Rice, Storage proteins, Volatile organic compounds"
40057930,Enhancing wheat resilience: biotechnological advances in combating heat stress and environmental challenges.,Plant molecular biology,2025,"Muhammad Arif, Muhammad Haroon, Ayesha Fazal Nawaz, Hina Abbas, Ruhong Xu, Luhua Li","Climate change, with its increasing temperatures, is significantly disrupting global agricultural systems, and wheat, a key cereal crop faces severe challenges. Heat stress has emerged as a critical threat, accelerating wheat growth, leading to premature maturation, reduced grain filling, and ultimately lower yields. The situation is exacerbated by more frequent and intense heat waves, particularly in regions already struggling with water scarcity. Maintaining the delicate balance of temperature and water necessary for optimal wheat production is becoming challenging, posing a serious risk to global food security. Therefore, there is an urgent need to develop adaptive strategies with innovations in breeding and transgenic technologies crucial to improving wheat resilience to environmental stresses, especially to combat the growing impacts of heat stress. Modern tools like CRISPR/Cas9, Transcription Activator-Like Effector Nucleases, and Zinc Finger Nucleases have been instrumental in developing wheat varieties with improved traits. However, the future of wheat cultivation requires more than just resistance to a single stressor. As climate change intensifies, there is an urgent need for wheat varieties that can withstand multiple stresses, including heat, drought, and pests. Developing these multi-stress-tolerant cultivars is crucial for ensuring food security in a rapidly changing climate.","CRISPR/Cas9, Climate change, Global food security, Heat stress, Wheat"
40056601,Combining the RCAS/tv-a retrovirus and CRISPR/Cas9 gene editing systems to generate primary mouse models of diffuse midline glioma.,"Neoplasia (New York, N.Y.)",2025,"Sophie R Wu, Julianne Sharpe, Joshua Tolliver, Abigail J Groth, Reid Chen, María E Guerra García, Vennesa Valentine, Nerissa T Williams, Sheeba Jacob, Zachary J Reitman","Diffuse midline gliomas (DMGs) are lethal brain tumors that arise in children and young adults, resulting in a median survival of less than two years. Genetically engineered mouse models (GEMMs) are critical to studying tumorigenesis and tumor-immune interactions, which may inform new treatment approaches. However, current midline glioma GEMM approaches are limited in their ability to multiplex perturbations and/or target specific cell lineages in the brain for genetic manipulation. Here, we combined the RCAS/tv-a avian retrovirus system and CRISPR/Cas9 genetic engineering to drive midline glioma formation in mice. CRISPR/Cas9-based disruption of Trp53, a tumor suppressor that is frequently disrupted in midline gliomas, along with the oncogene PDGF-B resulted in high grade tumor formation with moderate latency (median time to tumor formation of 12 weeks). We confirmed CRISPR-mediated Trp53 disruption using next-generation sequencing (NGS) and immunohistochemistry (IHC). Next, we disrupted multiple midline glioma tumor suppressor genes (Trp53, Pten, Atm, Cdkn2a) in individual mouse brains. These mini-pooled in vivo experiments generated primary midline gliomas with decreased tumor latency (median time to tumor formation of 3.6 weeks, P < 0.0001, log-rank test compared to single-plex gRNA). Quantification of gRNA barcodes and CRISPR editing events revealed that all tumors contained cells with various disruptions of all target genes and suggested a multiclonal origin for the tumors as well as stronger selection for Trp53 disruption compared to disruption of the other genes. This mouse modeling approach will streamline midline glioma research and enable complex experiments to understand tumor evolution and therapeutics.","CRISPR, Cre/loxP, Diffuse midline glioma, Genetic mouse model, Midline glioma, Retrovirus"
40056431,Pipeline to explore information on genome editing using large language models and genome editing meta-database.,Database : the journal of biological databases and curation,2025,"Takayuki Suzuki, Hidemasa Bono","Genome editing (GE) is widely recognized as an effective and valuable technology in life sciences research. However, certain genes are difficult to edit depending on some factors such as the type of species, sequences, and GE tools. Therefore, confirming the presence or absence of GE practices in previous publications is crucial for the effective designing and establishment of research using GE. Although the Genome Editing Meta-database (GEM: https://bonohu.hiroshima-u.ac.jp/gem/) aims to provide as comprehensive GE information as possible, it does not indicate how each registered gene is involved in GE. In this study, we developed a systematic method for extracting essential GE information using large language models from the information based on GEM and GE-related articles. This approach allows for a systematic and efficient investigation of GE information that cannot be achieved using the current GEM alone. In addition, by converting the extracted GE information into metrics, we propose a potential application of this method to prioritize genes for future research. The extracted GE information and novel GE-related scores are expected to facilitate the efficient selection of target genes for GE and support the design of research using GE. Database URLs:  https://github.com/szktkyk/extract_geinfo, https://github.com/szktkyk/visualize_geinfo.",N/A
40056245,Comprehensive identification of hub mRNAs and lncRNAs in colorectal cancer using galaxy: an in silico transcriptome analysis.,Discover oncology,2025,"Mohsen Yari, Milad Eidi, Mohammad-Amin Omrani, Zahra Fazeli, Mohammad Rahmanian, Soudeh Ghafouri-Fard","Colorectal cancer (CRC) is the second leading cause of cancer-related mortality. Using the Galaxy platform, the present study aimed to assess the differentially expressed genes (DEGs) in CRC patients. The expression data was obtained from the Gene Expression Omnibus database (GSE137327). DEGs were analyzed using Gene Ontology (GO) and GeneMANIA databases to detect the most critical biological pathways and processes. Protein-Protein Interaction Studies (PPIS) identified four hub genes (CCN1, CCL2, FLNC, MYH11). This article presents findings on three mRNAs (CEMIP, MMP7, and DPEP1) and also two notable lncRNAs, EVADR and DLX6-AS1, that have an impact on CRC pathogenesis and play a role in the epithelial-mesenchymal transition in tumor cells. The identified genes and lncRNAs are putative therapeutic targets and diagnostic markers. For instance, CRISPR/Cas9 editing systems can be designed in order to modulate expression of these genes, or edit them for the purpose of inducing sensitivity to conventional therapies. Besides, these genes can be incorporated into clinical prognostic models, offering panels of genes to choose appropriate personalized methods of treatment. Together, these genes represent novel markers and possible therapeutic targets for CRC.","Biomarker, Colorectal cancer, Genes, LncRNA, MRNA"
40056164,Precision medicine in the management of cardiac arrhythmias.,Herz,2025,"Felix Wiedmann, Constanze Schmidt","Precision medicine in cardiac electrophysiology tailors diagnosis, treatment, and prevention by integrating genetic, environmental, and lifestyle factors. Unlike traditional, generalized strategies, precision medicine focuses on individual patient characteristics to enhance care. Significant progress has been made, especially in managing channelopathies, where genetic insights now already drive personalized therapies. Identifying specific mutations has clarified molecular mechanisms and enabled targeted interventions, improving outcomes in conditions such as long QT syndrome. The integration of big data from clinical records, omics datasets, and biosignals from devices such as cardiac implantable electronic devices (CIEDs) or wearables may be on the verge of revolutionizing the diagnosis of cardiac arrhythmias once again. Progress is also expected in the field of human-induced pluripotent stem cells (hiPSCs) and in silico modeling, which may overcome the limitations of traditional expression systems for the functional evaluation of patient-specific mutations. Genome-wide association studies (GWAS) and polygenic risk scores (PRS) provide deeper insights into complex arrhythmogenic disorders, aiding in risk stratification and targeted treatment strategies. Finally, emerging technologies such as CRISPR/Cas9 promise gene editing for inherited and acquired arrhythmias. In summary, precision medicine offers the potential for individualized treatment of cardiac arrhythmias.","Big data integration, Cardiac electrophysiology, Genome-wide association studies, Individualized medicine, Pharmacogenetics"
40055648,GSK3 inhibition ameliorates the abnormal contractility of Newfoundland ACM patient iPSC-cardiomyocytes.,American journal of physiology. Cell physiology,2025,"Rebecca Noort, Wesam Salman, Camila Fuchs, Ursula Braun, David Pace, Kathleen Hodgkinson, Jessica Esseltine","Arrhythmogenic Cardiomyopathy (ACM) is clinically characterized by ventricular arrhythmias causing sudden cardiac death and fibrofatty replacement of the myocardium leading to heart failure. One form of ACM is highly prevalent in the Canadian Province of Newfoundland and Labrador (NL) and has earned the moniker, The ""Newfoundland Curse"". This ACM in NL patients is often caused by a fully penetrant heterozygous missense pathogenic variant in the TMEM43 gene (TMEM43 c.1073C>T; TMEM43 p.S358L). Although the causative variant has been identified, little is known about the function of the TMEM43 protein in cardiomyocytes, how the TMEM43 p.S358L mutation contributes to the development of arrhythmias, or why the disease is more severe in males than females. To explore the role of TMEM43 in cardiomyocyte function, we generated induced pluripotent stem cells (iPSCs) from 2 severely affected male Newfoundland ACM (TMEM43 p.S358L) patients. CRISPR-Cas9 was used to genetically ""repair"" the heterozygous TMEM43 variant in ACM patient iPSCs or for TMEM43 gene knockout. ACM patient iPSC-cardiomyocytes with the TMEM43 p.S358L variant display pro-arrhythmogenic phenotypes ","Arrhythmogenic cardiomyopathy, CRISPR-Cas9 gene editing, calcium imaging, cardiomyocytes, human induced pluripotent stem cells, transmembrane protein 43"
